scenario_id,country,year,quarter,OILE85_y,OILE85_q,STN_y,STN_q,LTN_y,LTN_q,ITS_y,ITS_q,PCS_y,PCS_q,GDP_y,GDP_q,HP_y,HP_q,ESX_y,ESX_q,CBR_y,CBR_q
1,EE,3,11,0,0,0,0,0,0,0,0,0,0,-32.2218968,-32.2218968,-10,-10,0,0,0,0
1,EE,3,12,0,0,0,0,0,0,0,0,0,0,-32.2218968,-32.2218968,-10,-10,0,0,0,0
1,ES,1,1,0,0,0,0,0,0,0,0,0,0,-0.624648598,-0.624648598,-8.75,-5,0,0,0,0
1,ES,1,2,0,0,0,0,0,0,0,0,0,0,-0.624648598,-0.624648598,-8.75,-10,0,0,0,0
1,ES,1,3,0,0,0,0,0,0,0,0,0,0,-0.624648598,-0.624648598,-8.75,-10,0,0,0,0
1,ES,1,4,0,0,0,0,0,0,0,0,0,0,-0.624648598,-0.624648598,-8.75,-10,0,0,0,0
1,ES,2,5,0,0,0,0,0,0,0,0,0,0,-1.288564417,-1.288564417,-10,-10,0,0,0,0
1,ES,2,6,0,0,0,0,0,0,0,0,0,0,-1.288564417,-1.288564417,-10,-10,0,0,0,0
1,ES,2,7,0,0,0,0,0,0,0,0,0,0,-1.288564417,-1.288564417,-10,-10,0,0,0,0
1,ES,2,8,0,0,0,0,0,0,0,0,0,0,-1.288564417,-1.288564417,-10,-10,0,0,0,0
1,ES,3,9,0,0,0,0,0,0,0,0,0,0,-1.796457935,-1.796457935,-10,-10,0,0,0,0
1,ES,3,10,0,0,0,0,0,0,0,0,0,0,-1.796457935,-1.796457935,-10,-10,0,0,0,0
1,ES,3,11,0,0,0,0,0,0,0,0,0,0,-1.796457935,-1.796457935,-10,-10,0,0,0,0
1,ES,3,12,0,0,0,0,0,0,0,0,0,0,-1.796457935,-1.796457935,-10,-10,0,0,0,0
1,FI,1,1,0,0,0,0,0,0,0,0,0,0,-2.42865993,-2.42865993,-8.75,-5,0,0,0,0
1,FI,1,2,0,0,0,0,0,0,0,0,0,0,-2.42865993,-2.42865993,-8.75,-10,0,0,0,0
